,gene,label,ST
2360,EEF1A1,OPCs_like_MYC5,0.035247248
2398,VIM,OPCs_like_MYC5,0.017704336
2460,ACTG1,OPCs_like_MYC6,0.016080517
1438,TUBA1A,NRPs_like_SHHb3,0.014002938
2383,MDK,OPCs_like_MYC5,0.009362245
2414,HNRNPA1,OPCs_like_MYC6,0.00933958
2336,TPT1,OPCs_like_MYC5,0.008448317
1889,COL3A1,OPCs_like_MYC1,0.008106433
2356,GAPDH,OPCs_like_MYC5,0.0076945764
2516,SPARC,OPCs_like_MYC6,0.007444477
2362,RACK1,OPCs_like_MYC5,0.0069526886
1160,PSAP,Microglia,0.006410852
2358,EEF1G,OPCs_like_MYC5,0.0059495852
2326,FTL,OPCs_like_MYC5,0.0056662927
2351,NACA,OPCs_like_MYC5,0.005609612
2329,FAU,OPCs_like_MYC5,0.0055965604
2598,HNRNPA2B1,OPCs_like_MYC7,0.0055382038
2228,DDX17,OPCs_like_MYC4,0.0053002415
2396,GNAS,OPCs_like_MYC5,0.005061199
2653,H3F3A,OPCs_like_MYC7,0.0049463776
2328,EEF2,OPCs_like_MYC5,0.0048905914
2325,UBA52,OPCs_like_MYC5,0.0045971
729,MIAT,Glutamatergic,0.0044574374
741,WSB1,IPCs/OPCs_like_SHHa1,0.0042958637
977,MARCKS,IPCs_like_SHHa5,0.0042020497
2345,SERF2,OPCs_like_MYC5,0.0041740914
1135,FTH1,Microglia,0.0041311933
2354,NAP1L1,OPCs_like_MYC5,0.004061548
2684,CCND2,OPCs_like_MYC7,0.0039743823
2567,PCBP2,OPCs_like_MYC7,0.0038684285
2512,ENO1,OPCs_like_MYC6,0.0036072356
1373,HNRNPDL,NRPs_like_SHHb3,0.0036055136
789,ILF3,IPCs_like_SHHa2,0.0035999978
2502,PGRMC1,OPCs_like_MYC6,0.0035445068
2660,FUS,OPCs_like_MYC7,0.0034829357
1926,GTF2I,OPCs_like_MYC2,0.0034409764
784,VCAN,IPCs_like_SHHa2,0.0033285583
2456,NPM1,OPCs_like_MYC6,0.0032717623
1831,MEST,OPCs_like_MYC1,0.0032408398
2504,CCN2,OPCs_like_MYC6,0.0031701506
542,HNRNPU,GRPs_like_TYR2,0.0031175562
2426,HMGN2,OPCs_like_MYC6,0.003091362
2374,MYL6,OPCs_like_MYC5,0.003039532
2368,CCND1,OPCs_like_MYC5,0.0028916718
2652,DDX39B,OPCs_like_MYC7,0.0028523044
2644,HMGB1,OPCs_like_MYC7,0.002850498
2435,WLS,OPCs_like_MYC6,0.0028254346
2555,SLC25A6,OPCs_like_MYC7,0.0028076265
2475,AHNAK,OPCs_like_MYC6,0.0027784528
750,PON2,IPCs/OPCs_like_SHHa1,0.0026573893
2421,COL5A2,OPCs_like_MYC6,0.00255232
1283,PTN,NRPs_like_SHHb1,0.0025220297
2372,ATP5F1E,OPCs_like_MYC5,0.0024461409
2361,EIF1,OPCs_like_MYC5,0.0024423592
1423,FGFR1,NRPs_like_SHHb3,0.0024405161
878,RTN3,IPCs_like_SHHa2,0.0023986655
958,CNTNAP2,IPCs_like_SHHa5,0.00239178
2588,HSP90AA1,OPCs_like_MYC7,0.002382875
2612,GAS5,OPCs_like_MYC7,0.0023666432
295,FN1,Fibroblast-like,0.002308065
2335,HSP90AB1,OPCs_like_MYC5,0.0023044941
933,MAP1B,IPCs_like_SHHa3,0.002284997
2373,PKM,OPCs_like_MYC5,0.0022837499
874,KIF1B,IPCs_like_SHHa2,0.0022336964
274,CTNNB1,Fibroblast-like,0.0022302608
2337,HSP90B1,OPCs_like_MYC5,0.002196384
521,UBA1,GRPs_like_TYR2,0.002190931
630,SRRM2,GRPs_like_TYR3,0.0021222106
1699,QKI,OLs,0.002121402
2524,PABPC1,OPCs_like_MYC6,0.0021212713
2204,NELL2,OPCs_like_MYC3,0.0021046302
2453,UQCRH,OPCs_like_MYC6,0.0020363957
2232,LUC7L3,OPCs_like_MYC4,0.0020322467
2575,EEF1D,OPCs_like_MYC7,0.0020309128
642,ARGLU1,GRPs_like_TYR3,0.0020141515
2005,NREP,OPCs_like_MYC2,0.0019855583
1327,GPC4,NRPs_like_SHHb2,0.0019645453
777,SNRNP70,IPCs_like_SHHa2,0.0019573506
995,SEPTIN2,IPCs_like_SHHa5,0.0018510227
296,SPARCL1,Fibroblast-like,0.0018359278
2432,UQCRB,OPCs_like_MYC6,0.0018346778
1380,MAP2,NRPs_like_SHHb3,0.0018178585
2009,LINC00599,OPCs_like_MYC2,0.0017899771
2451,FSTL1,OPCs_like_MYC6,0.0017848855
2459,SLC25A3,OPCs_like_MYC6,0.0017656115
844,RBMX,IPCs_like_SHHa2,0.001762148
762,SDK2,IPCs/OPCs_like_SHHa1,0.0017433921
41,GPM6A,Astrocytes,0.0017239342
1013,BOC,IPCs_like_SHHa5,0.0016951547
2348,NUCKS1,OPCs_like_MYC5,0.001692834
2394,COX6C,OPCs_like_MYC5,0.0016593313
2442,NCL,OPCs_like_MYC6,0.0016443015
2581,RBM39,OPCs_like_MYC7,0.0016399871
1684,RTN4,OLs,0.0016150682
980,MARCH6,IPCs_like_SHHa5,0.0016073771
306,COL4A1,Fibroblast-like,0.0015982524
1783,HNRNPH3,OPCs_like_MYC1,0.0015918827
2632,FKBP10,OPCs_like_MYC7,0.0015852744
657,GNB1,GRPs_like_TYR3,0.0015794
